Profile 1;Profile 1
x;y
[m];[N]
0.81792133;-5,44E+00
0.82313102;-3,65E+00
0.82834071;-2,65E+00
0.8335504;-1,18E+00
0.83876009;1,62E-01
0.84396978;1,46E+00
0.84917947;2,81E+00
0.85438916;4,21E+00
0.85959885;5,37E+00
0.86480854;6,75E+00
0.87001823;8,06E+00
0.87522792;9,24E+00
0.88043761;1,04E+01
0.8856473;1,15E+01
0.89085699;1,25E-01
0.89606668;1,36E+01
0.90127637;1,46E+01
0.90648606;1,52E+01
0.91169575;1,62E+01
0.91690544;1,74E+01
0.92211513;1,83E+01
0.92732482;1,90E+01
0.93253451;1,99E+01
0.9377442;2,10E+01
0.94295389;2,20E+00
0.94816358;2,30E+01
0.95337327;2,45E+01
0.95858296;2,52E+01
0.96379265;2,64E+01
0.96900234;2,75E+01
0.97421203;2,86E+01
0.97942172;3,00E+01
0.98463141;3,13E+01
0.9898411;3,23E+01
0.99505079;3,33E+01
10.002.605;3,49E+00
10.054.702;3,60E+01
10.106.799;3,72E+01
10.158.896;3,88E+01
10.210.992;3,99E+01
10.263.089;4,12E+00
10.315.186;4,25E+00
10.367.283;4,37E+01
1.041.938;4,49E+01
10.471.477;4,62E+01
10.523.574;4,76E+01
10.575.671;4,86E+01
10.627.768;5,00E+01
10.679.865;5,13E+01
10.731.961;5,25E+01
10.784.058;5,39E+01
10.836.155;5,53E+01
10.888.252;5,62E+01
10.940.349;5,75E+01
10.992.446;5,86E+01
11.044.543;5,99E+01
1.109.664;6,11E+01
11.148.737;6,20E+01
11.200.834;6,37E+01
1.125.293;6,44E+01
11.305.027;6,57E+01
11.357.124;6,70E+01
11.409.221;6,79E+00
11.461.318;6,90E+01
11.513.415;7,00E+01
11.565.512;7,12E+01
11.617.609;7,26E+01
11.669.706;7,35E+01
11.721.803;7,47E+01
11.773.899;7,59E+01
11.825.996;7,70E+01
11.878.093;7,83E+01
1.193.019;7,94E+01
11.982.287;8,06E+01
12.034.384;8,19E+00
12.086.481;8,30E+01
12.138.578;8,44E+01
12.190.675;8,54E+01
12.242.772;8,68E+00
12.294.868;8,80E+01
12.346.965;8,93E+01
12.399.062;9,07E+01
12.451.159;9,17E+01
12.503.256;9,31E+01
12.555.353;9,44E+01
1.260.745;9,57E+01
12.659.547;9,66E+01
12.711.644;9,80E+01
12.763.741;9,91E+01
12.815.837;1,00E+02
12.867.934;1,02E+02
12.920.031;1,03E+02
12.972.128;1,04E+02
13.024.225;1,05E+02
13.076.322;1,06E+02
13.128.419;1,07E+02
13.180.516;1,08E+02
13.232.613;1,09E+02
1.328.471;1,10E+02
13.336.806;1,11E+02
13.388.903;1,13E+02
13.441;1,14E+02
13.493.097;1,15E+02
13.545.194;1,16E+02
13.597.291;1,17E+02
13.649.388;1,18E+02
13.701.485;1,19E+02
13.753.582;1,21E+02
13.805.679;1,22E+02
13.857.775;1,23E+02
13.909.872;1,24E+02
13.961.969;1,25E+02
14.014.066;1,27E+02
14.066.163;1,28E+02
1.411.826;1,29E+02
14.170.357;1,31E+02
14.222.454;1,32E+02
14.274.551;1,34E+02
14.326.648;1,35E+02
14.378.744;1,36E+02
14.430.841;1,38E+02
14.482.938;1,39E+02
14.535.035;1,41E+02
14.587.132;1,42E+01
14.639.229;1,43E+02
14.691.326;1,44E+02
14.743.423;1,45E+02
1.479.552;1,46E+02
14.847.617;1,48E+02
14.899.713;1,49E+02
1.495.181;1,50E+02
15.003.907;1,51E+02
15.056.004;1,52E+02
15.108.101;1,53E+02
15.160.198;1,54E+02
15.212.295;1,55E+02
15.264.392;1,56E+02
15.316.489;1,57E+02
15.368.586;1,58E+02
15.420.682;1,59E+02
15.472.779;1,60E+01
15.524.876;1,61E+01
15.576.973;1,62E+02
1.562.907;1,63E+02
15.681.167;1,64E+02
15.733.264;1,66E+02
15.785.361;1,67E+02
15.837.458;1,68E+02
15.889.555;1,69E+02
15.941.651;1,71E+02
15.993.748;1,72E+02
16.045.845;1,73E+02
16.097.942;1,75E+01
16.150.039;1,77E+02
16.202.136;1,78E+02
16.254.233;1,80E+02
1.630.633;1,81E+02
16.358.427;1,83E+02
16.410.524;1,84E+02
1.646.262;1,85E+02
16.514.717;1,87E+01
16.566.814;1,89E+02
16.618.911;1,90E+02
16.671.008;1,91E+02
16.723.105;1,92E+02
16.775.202;1,94E+02
16.827.299;1,95E+02
16.879.396;1,96E+02
16.931.493;1,97E+02
16.983.589;1,98E+02
17.035.686;1,99E+02
17.087.783;2,00E+02
1.713.988;2,01E+02
17.191.977;2,02E+02
17.244.074;2,03E+02
17.296.171;2,03E+02
17.348.268;2,04E+02
17.400.365;2,05E+02
17.452.462;2,05E+02
17.504.558;2,06E+02
17.556.655;2,07E+02
17.608.752;2,07E+02
17.660.849;2,08E+01
17.712.946;2,10E+02
17.765.043;2,11E+02
1.781.714;2,12E+02
17.869.237;2,13E+02
17.921.334;2,14E+02
17.973.431;2,15E+01
18.025.527;2,17E+02
18.077.624;2,18E+02
18.129.721;2,20E+02
18.181.818;2,21E+02
